,date,rainfall_min,rainfall_mean,rainfall_max,month,year
202,"{'type': 'Date', 'value': 1509494400000}",8.540292739868164,8.540292739868164,8.540292739868164,11,2017
203,"{'type': 'Date', 'value': 1512086400000}",15.755911111831665,15.755911111831665,15.755911111831665,12,2017
204,"{'type': 'Date', 'value': 1514764800000}",15.90995979309082,15.90995979309082,15.90995979309082,1,2018
205,"{'type': 'Date', 'value': 1517443200000}",10.861758053302765,10.861758053302765,10.861758053302765,2,2018
206,"{'type': 'Date', 'value': 1519862400000}",0.0,0.0,0.0,3,2018
207,"{'type': 'Date', 'value': 1522540800000}",1.091812014579773,1.091812014579773,1.091812014579773,4,2018
208,"{'type': 'Date', 'value': 1525132800000}",63.554964780807495,63.554964780807495,63.554964780807495,5,2018
209,"{'type': 'Date', 'value': 1527811200000}",229.2828221321106,229.2828221321106,229.2828221321106,6,2018
210,"{'type': 'Date', 'value': 1530403200000}",187.74148893356323,187.74148893356323,187.74148893356323,7,2018
211,"{'type': 'Date', 'value': 1533081600000}",268.5209027528763,268.5209027528763,268.5209027528763,8,2018
212,"{'type': 'Date', 'value': 1535760000000}",311.8087387084961,311.8087387084961,311.8087387084961,9,2018
213,"{'type': 'Date', 'value': 1538352000000}",65.56785082817078,65.56785082817078,65.56785082817078,10,2018
214,"{'type': 'Date', 'value': 1541030400000}",26.00467872619629,26.00467872619629,26.00467872619629,11,2018
215,"{'type': 'Date', 'value': 1543622400000}",4.1309362053871155,4.1309362053871155,4.1309362053871155,12,2018
216,"{'type': 'Date', 'value': 1546300800000}",10.588943243026733,10.588943243026733,10.588943243026733,1,2019
217,"{'type': 'Date', 'value': 1548979200000}",2.253467321395874,2.253467321395874,2.253467321395874,2,2019
218,"{'type': 'Date', 'value': 1551398400000}",0.0,0.0,0.0,3,2019
219,"{'type': 'Date', 'value': 1554076800000}",1.6579034924507141,1.6579034924507141,1.6579034924507141,4,2019
220,"{'type': 'Date', 'value': 1556668800000}",0.8417311906814575,0.8417311906814575,0.8417311906814575,5,2019
221,"{'type': 'Date', 'value': 1559347200000}",147.05937510728836,147.05937510728836,147.05937510728836,6,2019
222,"{'type': 'Date', 'value': 1561939200000}",311.96821546554565,311.96821546554565,311.96821546554565,7,2019
223,"{'type': 'Date', 'value': 1564617600000}",201.02578830718994,201.02578830718994,201.02578830718994,8,2019
224,"{'type': 'Date', 'value': 1567296000000}",169.4872694015503,169.4872694015503,169.4872694015503,9,2019
225,"{'type': 'Date', 'value': 1569888000000}",67.14843201637268,67.14843201637268,67.14843201637268,10,2019
226,"{'type': 'Date', 'value': 1572566400000}",74.07861828804016,74.07861828804016,74.07861828804016,11,2019
227,"{'type': 'Date', 'value': 1575158400000}",5.729254484176636,5.729254484176636,5.729254484176636,12,2019
228,"{'type': 'Date', 'value': 1577836800000}",24.06425905227661,24.06425905227661,24.06425905227661,1,2020
229,"{'type': 'Date', 'value': 1580515200000}",36.9919958114624,36.9919958114624,36.9919958114624,2,2020
230,"{'type': 'Date', 'value': 1583020800000}",2.069934844970703,2.069934844970703,2.069934844970703,3,2020
231,"{'type': 'Date', 'value': 1585699200000}",1.129318118095398,1.129318118095398,1.129318118095398,4,2020
232,"{'type': 'Date', 'value': 1588291200000}",9.87451183795929,9.87451183795929,9.87451183795929,5,2020
233,"{'type': 'Date', 'value': 1590969600000}",94.47296503186226,94.47296503186226,94.47296503186226,6,2020
234,"{'type': 'Date', 'value': 1593561600000}",327.46520233154297,327.46520233154297,327.46520233154297,7,2020
235,"{'type': 'Date', 'value': 1596240000000}",192.19205617904663,192.19205617904663,192.19205617904663,8,2020
236,"{'type': 'Date', 'value': 1598918400000}",128.8191048502922,128.8191048502922,128.8191048502922,9,2020
237,"{'type': 'Date', 'value': 1601510400000}",28.254692286252975,28.254692286252975,28.254692286252975,10,2020
238,"{'type': 'Date', 'value': 1604188800000}",0.0,0.0,0.0,11,2020
239,"{'type': 'Date', 'value': 1606780800000}",0.0,0.0,0.0,12,2020
