,date,LST_min,LST_mean,LST_max,month,year
140,"{'type': 'Date', 'value': 1349049600000}",35.56076923076925,35.56076923076925,35.56076923076925,10,2012
141,"{'type': 'Date', 'value': 1351728000000}",30.438571428571453,30.438571428571453,30.438571428571453,11,2012
142,"{'type': 'Date', 'value': 1354320000000}",28.248888888888917,28.248888888888917,28.248888888888917,12,2012
143,"{'type': 'Date', 'value': 1356998400000}",26.14904761904765,26.14904761904765,26.14904761904765,1,2013
144,"{'type': 'Date', 'value': 1359676800000}",33.95000000000004,33.95000000000004,33.95000000000004,2,2013
145,"{'type': 'Date', 'value': 1362096000000}",38.379523809523846,38.379523809523846,38.379523809523846,3,2013
146,"{'type': 'Date', 'value': 1364774400000}",43.955714285714315,43.955714285714315,43.955714285714315,4,2013
147,"{'type': 'Date', 'value': 1367366400000}",43.28500000000003,43.28500000000003,43.28500000000003,5,2013
148,"{'type': 'Date', 'value': 1370044800000}",39.165714285714316,39.165714285714316,39.165714285714316,6,2013
149,"{'type': 'Date', 'value': 1372636800000}",33.07000000000003,33.07000000000003,33.07000000000003,7,2013
150,"{'type': 'Date', 'value': 1375315200000}",33.68250000000003,33.68250000000003,33.68250000000003,8,2013
151,"{'type': 'Date', 'value': 1377993600000}",32.85800000000005,32.85800000000005,32.85800000000005,9,2013
152,"{'type': 'Date', 'value': 1380585600000}",33.272222222222254,33.272222222222254,33.272222222222254,10,2013
153,"{'type': 'Date', 'value': 1383264000000}",28.130000000000035,28.130000000000035,28.130000000000035,11,2013
154,"{'type': 'Date', 'value': 1385856000000}",28.05600000000003,28.05600000000003,28.05600000000003,12,2013
155,"{'type': 'Date', 'value': 1388534400000}",26.83909090909093,26.83909090909093,26.83909090909093,1,2014
156,"{'type': 'Date', 'value': 1391212800000}",32.796400000000034,32.796400000000034,32.796400000000034,2,2014
157,"{'type': 'Date', 'value': 1393632000000}",38.19285714285717,38.19285714285717,38.19285714285717,3,2014
158,"{'type': 'Date', 'value': 1396310400000}",42.52058823529415,42.52058823529415,42.52058823529415,4,2014
159,"{'type': 'Date', 'value': 1398902400000}",39.35285714285718,39.35285714285718,39.35285714285718,5,2014
160,"{'type': 'Date', 'value': 1401580800000}",34.788000000000025,34.788000000000025,34.788000000000025,6,2014
161,"{'type': 'Date', 'value': 1404172800000}",36.0936363636364,36.0936363636364,36.0936363636364,7,2014
162,"{'type': 'Date', 'value': 1406851200000}",35.49888888888892,35.49888888888892,35.49888888888892,8,2014
163,"{'type': 'Date', 'value': 1409529600000}",32.34500000000003,32.34500000000003,32.34500000000003,9,2014
164,"{'type': 'Date', 'value': 1412121600000}",32.74764705882356,32.74764705882356,32.74764705882356,10,2014
165,"{'type': 'Date', 'value': 1414800000000}",28.60714285714289,28.60714285714289,28.60714285714289,11,2014
166,"{'type': 'Date', 'value': 1417392000000}",27.99941176470591,27.99941176470591,27.99941176470591,12,2014
167,"{'type': 'Date', 'value': 1420070400000}",28.194000000000027,28.194000000000027,28.194000000000027,1,2015
168,"{'type': 'Date', 'value': 1422748800000}",31.487142857142878,31.487142857142878,31.487142857142878,2,2015
169,"{'type': 'Date', 'value': 1425168000000}",34.89533333333336,34.89533333333336,34.89533333333336,3,2015
170,"{'type': 'Date', 'value': 1427846400000}",38.82846153846157,38.82846153846157,38.82846153846157,4,2015
171,"{'type': 'Date', 'value': 1430438400000}",43.61600000000004,43.61600000000004,43.61600000000004,5,2015
172,"{'type': 'Date', 'value': 1433116800000}",35.56090909090912,35.56090909090912,35.56090909090912,6,2015
173,"{'type': 'Date', 'value': 1435708800000}",35.143333333333366,35.143333333333366,35.143333333333366,7,2015
174,"{'type': 'Date', 'value': 1438387200000}",36.2666666666667,36.2666666666667,36.2666666666667,8,2015
175,"{'type': 'Date', 'value': 1441065600000}",34.201111111111146,34.201111111111146,34.201111111111146,9,2015
176,"{'type': 'Date', 'value': 1443657600000}",33.06294117647062,33.06294117647062,33.06294117647062,10,2015
177,"{'type': 'Date', 'value': 1446336000000}",32.63222222222225,32.63222222222225,32.63222222222225,11,2015
178,"{'type': 'Date', 'value': 1448928000000}",27.61571428571432,27.61571428571432,27.61571428571432,12,2015
179,"{'type': 'Date', 'value': 1451606400000}",27.55086956521742,27.55086956521742,27.55086956521742,1,2016
180,"{'type': 'Date', 'value': 1454284800000}",31.361666666666693,31.361666666666693,31.361666666666693,2,2016
181,"{'type': 'Date', 'value': 1456790400000}",35.642222222222244,35.642222222222244,35.642222222222244,3,2016
182,"{'type': 'Date', 'value': 1459468800000}",41.31000000000003,41.31000000000003,41.31000000000003,4,2016
183,"{'type': 'Date', 'value': 1462060800000}",44.143600000000035,44.143600000000035,44.143600000000035,5,2016
184,"{'type': 'Date', 'value': 1464739200000}",40.366666666666696,40.366666666666696,40.366666666666696,6,2016
185,"{'type': 'Date', 'value': 1467331200000}",33.91000000000002,33.91000000000002,33.91000000000002,7,2016
186,"{'type': 'Date', 'value': 1470009600000}",34.50000000000003,34.50000000000003,34.50000000000003,8,2016
187,"{'type': 'Date', 'value': 1472688000000}",36.28500000000003,36.28500000000003,36.28500000000003,9,2016
188,"{'type': 'Date', 'value': 1475280000000}",34.00789473684213,34.00789473684213,34.00789473684213,10,2016
189,"{'type': 'Date', 'value': 1477958400000}",30.20714285714288,30.20714285714288,30.20714285714288,11,2016
190,"{'type': 'Date', 'value': 1480550400000}",28.195217391304368,28.195217391304368,28.195217391304368,12,2016
191,"{'type': 'Date', 'value': 1483228800000}",29.0241666666667,29.0241666666667,29.0241666666667,1,2017
192,"{'type': 'Date', 'value': 1485907200000}",32.450000000000024,32.450000000000024,32.450000000000024,2,2017
193,"{'type': 'Date', 'value': 1488326400000}",38.29636363636366,38.29636363636366,38.29636363636366,3,2017
194,"{'type': 'Date', 'value': 1491004800000}",40.55000000000003,40.55000000000003,40.55000000000003,4,2017
195,"{'type': 'Date', 'value': 1493596800000}",43.874444444444464,43.874444444444464,43.874444444444464,5,2017
196,"{'type': 'Date', 'value': 1496275200000}",40.57900000000003,40.57900000000003,40.57900000000003,6,2017
197,"{'type': 'Date', 'value': 1498867200000}",35.89200000000004,35.89200000000004,35.89200000000004,7,2017
198,"{'type': 'Date', 'value': 1501545600000}",36.43285714285717,36.43285714285717,36.43285714285717,8,2017
